BehaviorSpace results (NetLogo 5.0.3),,,,,,,,,,
telemarketers_2013_02_15.nlogo,,,,,,,,,,
cant-de-TLM-x-sema-varn-cant-inic-de-TLM,,,,,,,,,,
02/19/2013 11:46:44:630 -0600,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,
-100,100,-100,100,,,,,,,
[run number],1,2,3,4,5,6,7,8,9,10
initial-num-marketers,50,100,150,200,250,300,350,400,450,500
[reporter],count turtles,count turtles,count turtles,count turtles,count turtles,count turtles,count turtles,count turtles,count turtles,count turtles
[final],1,1,1,1,1,1,1,1,1,1
[min],1,1,1,1,1,1,1,1,1,1
[max],50,100,150,200,250,300,350,400,450,500
[mean],9355,23125,42865,70855,99.98,133.74,166255,196195,230.13,256.21
[steps],199,199,199,199,199,199,199,199,199,199
,,,,,,,,,,
[all run data],count turtles,count turtles,count turtles,count turtles,count turtles,count turtles,count turtles,count turtles,count turtles,count turtles
,50,100,150,200,250,300,350,400,450,500
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,50,100,150,200,245,289,324,354,386,408
,48,100,150,200,245,289,324,354,386,408
,43,100,150,200,245,289,324,354,386,408
,40,97,150,199,245,289,324,354,386,408
,36,95,150,199,245,289,324,354,386,408
,31,94,149,198,245,289,324,354,386,408
,26,92,149,198,245,289,324,354,386,408
,26,91,148,198,244,289,324,354,386,408
,22,86,147,197,244,289,324,354,386,408
,19,82,146,197,244,288,324,354,386,408
,18,79,144,197,244,288,324,354,386,408
,15,75,143,196,244,288,324,354,386,408
,14,71,141,195,243,288,324,354,386,408
